"source","listing_no","item_id","url","agency","agent_name","agent_phone","realtor_name","realtor_phone","agency_address","agency_reg_no","region","address","latitude","longitude","address_public_level","title","deposit_manwon","rent_manwon","maintenance_manwon","total_monthly_manwon","room_type","service_type","area_m2","floor","direction","parking","move_in","approval_date","residence_type","non_compliant_building","options","image_1","image_2","crawl_note"
"zigbang","49088083","49088083","https://www.zigbang.com/home/oneroom/items/49088083?itemDetailType=ZIGBANG","광교434공인중개사사무소","양경모","031-212-1655","양경모","010-8250-0434","경기도 수원시 영통구 광교중앙로 145 A434호(이의동, 광교엘포트 아이파크)","41117-2025-00021","경기도 수원시 영통구 이의동","수원시 영통구 이의동 1336-1","37.286965","127.057743","exact_jibun_from_api","l 보증보험 가입 가능 l","19800","20","15","35","오픈형원룸","오피스텔","26.25","중/20","NE","주차 가능","2026.06.26 이후 입주 가능","2018.01.08","오피스텔","False","","https://ic.zigbang.com/ic/items/49088083/1.jpg","https://ic.zigbang.com/ic/items/49088083/2.jpg",""
"zigbang","49073574","49073574","https://www.zigbang.com/home/oneroom/items/49073574?itemDetailType=ZIGBANG","광교434공인중개사사무소","양경모","031-212-1655","양경모","010-8250-0434","경기도 수원시 영통구 광교중앙로 145 A434호(이의동, 광교엘포트 아이파크)","41117-2025-00021","경기도 수원시 영통구 이의동","수원시 영통구 이의동 1338","37.285808","127.056288","exact_jibun_from_api","l 빠른 입주 l 귀한 반전세 l","12000","23","15","38","오픈형원룸","오피스텔","22.62","저/17","NW","주차 가능","즉시 입주 가능","2015.08.28","오피스텔","False","","https://ic.zigbang.com/ic/items/49073574/1.jpg","https://ic.zigbang.com/ic/items/49073574/2.jpg",""
"zigbang","49031443","49031443","https://www.zigbang.com/home/oneroom/items/49031443?itemDetailType=ZIGBANG","광교434공인중개사사무소","양경모","031-212-1655","양경모","010-8250-0434","경기도 수원시 영통구 광교중앙로 145 A434호(이의동, 광교엘포트 아이파크)","41117-2025-00021","경기도 수원시 영통구 이의동","수원시 영통구 이의동 1336-1","37.286965","127.057743","exact_jibun_from_api","l 1.5룸 ㅣ전입 불가 l 부가세 별도 l","3000","130","25","155","분리형원룸","오피스텔","38.65","고/20","NE","주차 가능","즉시 입주 가능","2018.01.08","오피스텔","False","","https://ic.zigbang.com/ic/items/49031443/1.jpg","https://ic.zigbang.com/ic/items/49031443/2.jpg",""
"zigbang","49079493","49079493","https://www.zigbang.com/home/oneroom/items/49079493?itemDetailType=ZIGBANG","광교434공인중개사사무소","양경모","031-212-1655","양경모","010-8250-0434","경기도 수원시 영통구 광교중앙로 145 A434호(이의동, 광교엘포트 아이파크)","41117-2025-00021","경기도 수원시 영통구 이의동","수원시 영통구 이의동 1336","37.2877883133206","127.056921626103","exact_jibun_from_api","l 부가세 10프로 별도 l 6월 말 협의 입주 l","3000","160","25","185","투룸","오피스텔","59.18","고/20","NE","주차 가능","2026.06.26 이후 입주 가능","2020.03.06","오피스텔","False","","https://ic.zigbang.com/ic/items/49079493/1.jpg","https://ic.zigbang.com/ic/items/49079493/2.jpg",""
"zigbang","48792620","48792620","https://www.zigbang.com/home/oneroom/items/48792620?itemDetailType=ZIGBANG","굿모닝공인중개사사무소","박경은","031-217-0030","박경은","010-4577-5677","경기도 수원시 영통구 인계로270번길 14 , 제 103호(매탄동)","가3682-1400","경기도 수원시 영통구 매탄동","수원시 영통구 매탄동 860","37.2643898661132","127.048986086643","exact_jibun_from_api","가격조정가능,풀옵준신축,엘리베이터,CCTV현관보안,융자무","2000","20","6","26","오픈형원룸","원룸","23.2","2/5","E","주차 가능","2026.04.30 이후 입주 가능","2012.09.12","공동주택","False","에어컨; 냉장고; 세탁기; 인덕션; 옷장; 신발장; 싱크대; 전자레인지","https://ic.zigbang.com/ic/items/48792620/1.jpg","https://ic.zigbang.com/ic/items/48792620/2.jpg",""
"zigbang","48784739","48784739","https://www.zigbang.com/home/oneroom/items/48784739?itemDetailType=ZIGBANG","굿모닝공인중개사사무소","박경은","031-217-0030","박경은","010-4577-5677","경기도 수원시 영통구 인계로270번길 14 , 제 103호(매탄동)","가3682-1400","경기도 수원시 영통구 매탄동","수원시 영통구 매탄동 866-11","37.263625209102045","127.0481875388675","exact_jibun_from_api","단기가능즉입주,인터넷과 케이블tv,올수리깔끔,하늘뷰 채광굿","200","27","7","34","오픈형원룸","원룸","21","2/3","N","주차 불가능","즉시 입주 가능","1991.5.3","단독주택","False","에어컨; 냉장고; 세탁기; 인덕션; 옷장; 신발장; 싱크대; 전자레인지","https://ic.zigbang.com/ic/items/48784739/1.jpg","https://ic.zigbang.com/ic/items/48784739/2.jpg",""
"zigbang","48915561","48915561","https://www.zigbang.com/home/oneroom/items/48915561?itemDetailType=ZIGBANG","굿모닝공인중개사사무소","박경은","031-217-0030","박경은","010-4577-5677","경기도 수원시 영통구 인계로270번길 14 , 제 103호(매탄동)","가3682-1400","경기도 수원시 영통구 매탄동","수원시 영통구 매탄동 860","37.2643898661132","127.048986086643","exact_jibun_from_api","CCTV현관보안엘리베이터준신축,창문2개,삼성전자중앙문","500","34","6","40","오픈형원룸","원룸","23.14","2/5","E","주차 가능","즉시 입주 가능 (협의가능)","2012.09.12","공동주택","False","에어컨; 냉장고; 세탁기; 인덕션; 옷장; 신발장; 싱크대","https://ic.zigbang.com/ic/items/48915561/1.jpg","https://ic.zigbang.com/ic/items/48915561/2.jpg",""
"zigbang","49022390","49022390","https://www.zigbang.com/home/oneroom/items/49022390?itemDetailType=ZIGBANG","글로벌공인중개사사무소","고미애","031-216-7799","고미애","010-5012-2211","경기도 수원시 영통구 인계로270번길 7 1층 103호(매탄동)","41117-2019-00214","경기도 수원시 영통구 매탄동","수원시 영통구 매탄동 871-13","37.2633325219875","127.046912660361","exact_jibun_from_api","대출 없음, 바로이사가능, 남향, 분리주방, 넓은방.","300","34","4","38","분리형원룸","원룸","30","4/4","S","주차 가능","즉시 입주 가능","2002년 8월 30일","단독주택","False","에어컨; 냉장고; 세탁기; 싱크대; 신발장; 옷장; 가스레인지","https://ic.zigbang.com/ic/items/49022390/1.jpg","https://ic.zigbang.com/ic/items/49022390/2.jpg",""
"zigbang","48852202","48852202","https://www.zigbang.com/home/oneroom/items/48852202?itemDetailType=ZIGBANG","글로벌공인중개사사무소","고미애","031-216-7799","고미애","010-5012-2211","경기도 수원시 영통구 인계로270번길 7 1층 103호(매탄동)","41117-2019-00214","경기도 수원시 영통구 매탄동","수원시 영통구 매탄동 871-7","37.2632921161162","127.047687348215","exact_jibun_from_api","씽크대 새로,  이사바로 가능, 붙박이장, 에어컨새로","300","36","4","40","오픈형원룸","원룸","27","3/3","W","주차 가능","즉시 입주 가능","2002. 04. 05.","단독주택","False","에어컨; 냉장고; 세탁기; 싱크대; 신발장; 옷장; 가스레인지","https://ic.zigbang.com/ic/items/48852202/1.jpg","https://ic.zigbang.com/ic/items/48852202/2.jpg",""
"zigbang","48855177","48855177","https://www.zigbang.com/home/oneroom/items/48855177?itemDetailType=ZIGBANG","글로벌공인중개사사무소","고미애","031-216-7799","고미애","010-5012-2211","경기도 수원시 영통구 인계로270번길 7 1층 103호(매탄동)","41117-2019-00214","경기도 수원시 영통구 매탄동","수원시 영통구 매탄동 1251-3","37.2617998220765","127.046752982374","exact_jibun_from_api","전체 리모델링 완료,분리형 주방, 베란다 넓음, 이사바로","300","36","5","41","분리형원룸","원룸","27","1/3","W","주차 가능","즉시 입주 가능","2002년 8월 30일","단독주택","False","에어컨; 냉장고; 세탁기; 싱크대; 신발장; 옷장; 가스레인지","https://ic.zigbang.com/ic/items/48855177/1.jpg","https://ic.zigbang.com/ic/items/48855177/2.jpg",""
"zigbang","48905649","48905649","https://www.zigbang.com/home/oneroom/items/48905649?itemDetailType=ZIGBANG","뉴스타부동산공인중개사사무소","김혜린","010-8379-3408","김혜린","010-8379-3408","경기도 수원시 영통구 신원로 255-2 101호 일부 (매탄동)","41117-2023-00114","경기도 수원시 영통구 원천동","수원시 영통구 원천동 337-67","37.2639167377198","127.0650571468","exact_jibun_from_api","아쉬운채광 . 저렴한월세 . 풀옵션 . 흥덕 IT","2000","20","7","27","분리형원룸","원룸","23.14","3/6","NE","주차 가능","즉시 입주 가능","2008.12.30","제2종근린생활시설","False","에어컨; 냉장고; 세탁기; 인덕션; 옷장; 신발장; 싱크대; 가스레인지","https://ic.zigbang.com/ic/items/48905649/1.jpg","https://ic.zigbang.com/ic/items/48905649/2.jpg",""
"zigbang","48910205","48910205","https://www.zigbang.com/home/oneroom/items/48910205?itemDetailType=ZIGBANG","뉴스타부동산공인중개사사무소","김혜린","010-8379-3408","김혜린","010-8379-3408","경기도 수원시 영통구 신원로 255-2 101호 일부 (매탄동)","41117-2023-00114","경기도 수원시 영통구 원천동","","37.2669536195704","127.062529193701","exact_jibun_from_api","분리형 . 최저가 . 빠른입주가능 . 풀옵션 .","500","26","4","30","분리형원룸","원룸","21.5","4/4","SW","주차 가능","즉시 입주 가능","2003.8.21.","단독주택","False","에어컨; 냉장고; 세탁기; 가스레인지; 옷장; 신발장; 싱크대","https://ic.zigbang.com/ic/items/48910205/1.jpg","https://ic.zigbang.com/ic/items/48910205/2.jpg",""
"zigbang","46870070","46870070","https://www.zigbang.com/home/oneroom/items/46870070?itemDetailType=ZIGBANG","뉴스타부동산공인중개사사무소","김혜린","010-8379-3408","김혜린","010-8379-3408","경기도 수원시 영통구 신원로 255-2 101호 일부 (매탄동)","41117-2023-00114","경기도 수원시 영통구 원천동","수원시 영통구 원천동 337-88","37.2645487445548","127.064863783549","exact_jibun_from_api","꩓꩓  단기 환영 ㅣ 영흥숲 ㅣ 즉시 입주 ㅣ 가성비 ㅣ","200","33","7","40","분리형원룸","원룸","21","2/7","SE","주차 가능","즉시 입주 가능","2012.05.23","제2종 근린생활시설 (고시원)","False","에어컨; 냉장고; 세탁기; 전자레인지; 책상; 책장; 옷장; 신발장","https://ic.zigbang.com/ic/items/46870070/1.jpg","https://ic.zigbang.com/ic/items/46870070/2.jpg",""
"zigbang","49069376","49069376","https://www.zigbang.com/home/oneroom/items/49069376?itemDetailType=ZIGBANG","뉴스타부동산공인중개사사무소","김혜린","010-8379-3408","김혜린","010-8379-3408","경기도 수원시 영통구 신원로 255-2 101호 일부 (매탄동)","41117-2023-00114","경기도 수원시 영통구 원천동","수원시 영통구 원천동 337-88","37.2645487445548","127.064863783549","exact_jibun_from_api","NEW ㅣ 최 ㅣ 저 ㅣ ㉮ ㅣ 떴 ㅣ 다 ㅣ","200","35","0","35","분리형원룸","원룸","21.5","7/7","SW","주차 가능","즉시 입주 가능","2012.05.23","제2종근린생활시설","False","에어컨; 냉장고; 세탁기; 인덕션; 전자레인지; 책상; 옷장; 신발장","https://ic.zigbang.com/ic/items/49069376/1.jpg","https://ic.zigbang.com/ic/items/49069376/2.jpg",""
"zigbang","48976729","48976729","https://www.zigbang.com/home/oneroom/items/48976729?itemDetailType=ZIGBANG","뉴스타부동산공인중개사사무소","김혜린","010-8379-3408","김혜린","010-8379-3408","경기도 수원시 영통구 신원로 255-2 101호 일부 (매탄동)","41117-2023-00114","경기도 수원시 영통구 원천동","수원시 영통구 원천동 337-73","37.2637530245287","127.065045957909","exact_jibun_from_api","ㅡ분리형ㅡ최저가ㅡ풀옵션ㅡ즉시입주ㅡ영흥공원앞ㅡ","300","35","6.5","41","분리형원룸","원룸","23.14","2/6","SW","주차 가능","즉시 입주 가능","2008-12-26","제2종근린생활시설","False","에어컨; 냉장고; 세탁기; 책상; 책장; 침대; 옷장; 신발장","https://ic.zigbang.com/ic/items/48976729/1.jpg","https://ic.zigbang.com/ic/items/48976729/2.jpg",""
"zigbang","48789520","48789520","https://www.zigbang.com/home/oneroom/items/48789520?itemDetailType=ZIGBANG","뉴스타부동산공인중개사사무소","김혜린","010-8379-3408","김혜린","010-8379-3408","경기도 수원시 영통구 신원로 255-2 101호 일부 (매탄동)","41117-2023-00114","경기도 수원시 영통구 매탄동","수원시 영통구 매탄동 357-1","37.2650955475621","127.0603370572","exact_jibun_from_api","ㅡ깔끔한방ㅡ경희대ㅡ건조기ㅡ삼성ㅡ풀옵션ㅡ채광굿ㅡ즉시입주ㅡ","300","37","7","44","분리형원룸","원룸","21.49","2/7","SW","주차 가능","즉시 입주 가능","2012-03-28","제2종근린생활시설","False","에어컨; 냉장고; 세탁기; 책상; 침대; 옷장; 신발장","https://ic.zigbang.com/ic/items/48789520/1.jpg","https://ic.zigbang.com/ic/items/48789520/2.jpg",""
"zigbang","48977693","48977693","https://www.zigbang.com/home/oneroom/items/48977693?itemDetailType=ZIGBANG","뉴스타부동산공인중개사사무소","김혜린","010-8379-3408","김혜린","010-8379-3408","경기도 수원시 영통구 신원로 255-2 101호 일부 (매탄동)","41117-2023-00114","경기도 수원시 영통구 매탄동","수원시 영통구 매탄동 357-1","37.2650955475621","127.0603370572","exact_jibun_from_api","ㅿ 즉시입주 ㅿ분리형ㅿ 건조기OK ㅿ","300","37","7","44","분리형원룸","원룸","19.83","4/7","NE","주차 가능","즉시 입주 가능","2012.03.28","제2종근린생활시설","False","에어컨; 냉장고; 세탁기; 인덕션; 책상; 침대; 옷장; 신발장; 싱크대","https://ic.zigbang.com/ic/items/48977693/1.jpg","https://ic.zigbang.com/ic/items/48977693/2.jpg",""
"zigbang","48935753","48935753","https://www.zigbang.com/home/oneroom/items/48935753?itemDetailType=ZIGBANG","뉴스타부동산공인중개사사무소","김혜린","010-8379-3408","김혜린","010-8379-3408","경기도 수원시 영통구 신원로 255-2 101호 일부 (매탄동)","41117-2023-00114","경기도 수원시 영통구 매탄동","수원시 영통구 매탄동 384-24","37.2609052869502","127.060442950978","exact_jibun_from_api","ㅡ단기환영ㅡ즉시입주ㅡ풀옵션ㅡ깔끔ㅡ금액조율가능ㅡ","100","40","7","47","오픈형원룸","원룸","19.83","6/6","SE","주차 가능","즉시 입주 가능","2017.08.18","제2종근린생활시설","False","에어컨; 냉장고; 세탁기; 책상; 책장; 옷장; 신발장","https://ic.zigbang.com/ic/items/48935753/1.jpg","https://ic.zigbang.com/ic/items/48935753/2.jpg",""
